win,loss,margin,Winner,Year
34,28,6,Patriots,2017
24,10,14,Broncos,2016
28,24,4,Patriots,2015
43,8,35,Seahawks,2014
34,31,3,Ravens,2013
21,17,4,Giants,2012
31,25,6,Packers,2011
31,17,14,Saints,2010
27,23,4,Steelers,2009
17,14,3,Giants,2008
29,17,12,Colts,2007
21,10,11,Steelers,2006
24,21,3,Patriots,2005
32,29,3,Patriots,2004
48,21,27,Buccaneers,2003
20,17,3,Patriots,2002
34,7,27,Ravens,2001
23,16,7,Rams,2000
34,19,15,Broncos,1999
31,24,7,Broncos,1998
35,21,14,Packers,1997
27,17,10,Cowboys,1996
49,26,23,49ers,1995
30,13,17,Cowboys,1994
52,17,35,Cowboys,1993
37,24,13,Redskins,1992
20,19,1,Giants,1991
55,10,45,49ers,1990
20,16,4,49ers,1989
42,10,32,Redskins,1988
39,20,19,Giants,1987
46,10,36,Bears,1986
38,16,22,49ers,1985
38,9,29,Raiders,1984
27,17,10,Redskins,1983
26,21,5,49ers,1982
27,10,17,Raiders,1981
31,19,12,Steelers,1980
35,31,4,Steelers,1979
27,10,17,Cowboys,1978
32,14,18,Raiders,1977
21,17,4,Steelers,1976
16,6,10,Steelers,1975
24,7,17,Dolphins,1974
14,7,7,Dolphins,1973
24,3,21,Cowboys,1972
16,13,3,Colts,1971
23,7,16,Chiefs,1970
16,7,9,Jets,1969
33,14,19,Packers,1968
35,10,25,Packers,1967
